页码,评论者昵称,评论星级,评论时间,评论者IP属地,有用数,评论内容
1,朝暮雪,4星,2023/5/5 4:19,四川,14762,《银护1》22：04出现过水獭的名字莱拉。至高进化给她装了机械臂，《复联3》火箭浣熊想要得到巴基的机械臂，因为机械臂让他想起了莱拉。《银护1》火箭浣熊想要狱友的假肢，因为假肢让他想起了兔子板板。他还想要勇度手下的假眼，因为大牙的眼睛被至高进化改造过，它无法自发地眨眼，眨眼是由机器控制的。《银护2》25：13墙上出现了大牙的画像，可能是大牙被抓起来之前别人给它画的。《银护2》1：27：25左上角伊戈的其中一个妻子和螳螂女是相同的种族，《银护：圣诞特别篇》证实了螳螂女是星爵的妹妹。《银护2》毁灭者说“全宇宙有两种人，跳舞的和不跳舞的”，《银护3》他再次说“只有傻子才跳舞”，然而结局他却跳起了舞。格鲁特并没有说新的台词，他说的还是“我是格鲁特”，只不过这一次我们能听懂他说的话了，因为我们已经是银护的一员了。
1,黑特-007,4星,2023/5/3 17:57,北京,5179,银护系列将因为发挥稳定而被踢出漫威宇宙，虽然我觉得为了讲火箭身世完全可以走迷你剧没必要又水一部电影出来==结尾说明大家都知道漫威现在就这个系列还算拿得出手必须一直拍下去了
1,R人民艺术家,4星,2023/5/6 6:26,美国,4077,动森岛建不理想只能炸岛害
1,Agent阿神,5星,2023/4/30 0:16,山东,12554,很庆幸星爵没有和卡魔拉在一起，如果在一起，那就证明星爵从未爱过卡魔拉。几乎完美的结局，导演尊重了每一位银河护卫队成员，主创把这些角色当作了独立的人看待，而不是服务剧情的工具人。
1,睦谊日东,5星,2023/5/3 10:07,韩国,6827,我就说最后一部高低得把第一部里面最经典的那首歌再放一次，果然给了，赞！
1,Aslp_,5星,2023/5/3 10:04,北京,5609,众所周知，滚导宇宙和MCU毫不相干，早已是nextlevel。
1,理易封,4星,2023/5/3 18:10,辽宁,4198,第四+第五阶段目前最佳，感觉像一只摇滚乐队的解散演唱会，每个人物都照顾到了，真的family，而非虚假的口号。火箭浣熊是主角，算比较完整的成长吧，剧情方面还是偏弱，靠暴力大尺度镜头和音乐拉回了很多分，还有那段精彩的长镜头，太牛了
1,我是猪Pigangel,4星,2023/5/3 18:24,广东,2881,【银河护卫队3（8.0/10）】吊打《复联4》的完结篇。冈导是漫威影业唯一一位完整执导三部曲的导演，也许真的应该感谢他把对角色最后的理解最好的结局都放在这部片里。这种对角色情感和坚持如一的人设，最终完成了几近完美的三部曲，肯定如果你爱过这群loser，一定会被感动。也许这是最后一部“有笑有泪，漫威最佳”，因为他们可能再也塑造不出讨人喜欢的角色了。
1,穿越歧路花园,3星,2023/5/3 18:18,广东,1915,除了火箭的多个身世闪回穿插得很好以外，主线剧情完全不如前两部。还是乱。
1,琦殿,未知,2023/5/5 16:11,山东,1799,“他是我们中唯一一个不讨厌自己的人。”
1,连城易脆,3星,2023/5/4 9:45,上海,715,很遗憾，我的观影体验并不好。自诩漫威粉的我过去十多年也是一部不落，能0点场就0点场，能特效厅就特效厅，但是如今的我似乎某种程度丧失了看漫威电影的乐趣，最多的感受是【混乱】和【疲惫】。以至于我昨天看到有人评价胜过复联4的时候一方面感到匪夷所思，一方面又非常羡慕别人可以拥有这么愉快的观影体验。不过好在看到一些友邻评价后，中和了我内心的困惑和失落。【混乱】感主要在于出场人物太多，要么只有一些基础印象，要么对其前史一无所知，当你试图搞清楚人物关系和对白逻辑时，发现完全是徒劳。而且绝大多数角色都会沦为工具人，只是符号性的存在。包括反派在内，普遍缺乏人格魅力。【疲惫】感则体现在超长的时长和五彩斑斓的视觉带来不再是一种享受，反而是一种负担和消耗。本片唯一让我称道的可能就是走廊一气呵成的长镜头战斗吧。
1,不留痕迹,4星,2023/5/3 17:44,湖南,2455,又一次情感过山车般的体验，不断在笑点和泪点间自如的切换。第一次感到每个角色都如此重要，即便一代银河护卫队不复存在了，大家散落在宇宙各处，但WeareGroot！最后的彩蛋是银护全家福，让它没有变成MCU第五阶段的又一轮铺垫，而是独属于系列的最终章，滚导有心了。
1,就想睡觉,4星,2023/5/7 1:09,重庆,2265,幸好没有卡魔拉恢复记忆相亲相爱一家人的俗套戏码，这就是最好的结局
1,烧饼夹儿,4星,2023/5/7 14:01,北京,1035,最好的在一起就是活着各奔东西
1,女神的秋裤,5星,2023/5/3 18:41,山东,4778,这才是漫威！《复联4》后最佳！笑着笑着就流泪…银护浓味相当冲，沙雕逗比浓度相当高，笑料足，动作场面够大也精彩，但最让人动容的不是这些，而是让人泪目的细节：一个小蓝人出现，许多人鼓掌，那是粉丝最喜欢和怀恋的角色之一；一声奇怪的猴叫，是一位硬汉父亲的柔软，和我们从未见过的父女美好时光；一句“嗯”，是跨越多元宇宙的姐妹情；一个纳米科技手臂，是钢铁侠的遗产；一个尴尬的拥抱，是没有血缘关系的家人；一只被捡起的小浣熊，是曾经几条怪胎生命的抱团取暖，和现在的一个都不能少；一句“我爱你们”，是别人都听不懂的IamGroot，如今你却能听懂他每句的含义。他们来自宇宙中各个角落的三流角色，是怪胎，但聚在一起，他们是会为了对方牺牲一切的一家人。这样的系列结局，作为粉丝我很满意。感谢这帮逗比，IamGroot！
1,BachFuga,5星,2023/5/5 23:56,北京,3138,2023年了还是会因为勇度而哭泣
1,leslie1991,4星,2023/5/5 18:49,上海,1095,滚导最后一部了，满满的情怀，也不蹭复联热度，单纯就是银河护卫队的电影。某个角色死了，观众：嗯……。小动物死了，观众：T_T
1,影志,2星,2023/5/3 18:12,北京,1126,别把自己当复联，动辄2个半小时，除了小机灵和劲歌金曲外，一片混乱，甚至一些金曲都变得聒噪震耳。太多强行和刻意，让三部曲成为狗尾续貂烂尾之作。火箭浣熊的童年线强行插入和煽情，莱拉、大牙、板板、火箭朋友们在一起真开心又莫名其妙让三个朋友致死，强行制造同情…暴躁刻薄的卡魔拉烦死人，由此强行给星爵打造的痴情人设也于事无补。反派脸上依旧写着“我是反派”的刻板印象，即便不是想统治宇宙，想让这个社会变美好也一样烂俗…“I’mgroot”的格鲁特改口“Iloveyou，guys”都没那么可爱了…所有角色和设定让人不适，不管是谁都无限暴躁，为插科打诨而硬来乱来。或许只有片头的“Creep”和片尾的“DogDaysAreOver”在激麦厅听听歌聊以慰藉了…
1,tangerine,5星,2023/5/5 12:52,江苏,2952,三部看下来，银护真是处处处心积虑，因为没有漫画人气支撑，电影里也给复联跑龙套，他们的一切都是自己打拼来的，所以古恩真的珍惜这些角色，想给他们一个美好的结局，也给观众一部优秀的电影。它依旧有缺陷，但它已经是一部完美的银河护卫队3了，任何人包括古恩都已经做到一切，没办法让它变得更好，如果你曾经爱过这些角色，陪他们走过全程，没有什么理由不再次走进电影院，回忆一下那个曾经多么marvelous的marvel吧。
1,谢谢你们的鱼,5星,2023/5/3 18:03,北京,1927,爆炸了，《美国队长3》之后的复联最佳，比《复仇者联盟》3、4加在一起还要好看。简直就是系列里面的《西斯的复仇》。两个半小时极其疯狂的观影体验，滚导最后一部漫威非常火力全开，视觉、配乐、情绪、爽感都是顶到不行，甚至融入了一些约翰·卡彭特、库布里克以及柯南伯格的元素。而火箭的故事线和结尾真的哭惨了，滚导真的爱他的每一个角色，爱每一个孤独的灵魂，三刷预定！
2,mee,5星,2023/5/3 22:18,北京,1874,每一秒都值得。我永远爱火箭浣熊。
2,鸣蜩凌午,5星,2023/5/6 21:45,贵州,1288,虚假的家庭:速度与激情真正的family:银河护卫队
2,baobaodu,4星,2023/5/6 6:50,北京,848,火箭浣熊成长史，养宠物的看了估计都会泪目
2,北辰,4星,2023/9/4 0:14,广东,1,看了复联3过来的，表示人都全凉了，怎么拍？
2,qiuchen028,3星,2023/5/5 21:07,四川,551,很中规中矩啊……为啥评价这么高感觉还没有银1和2好
2,根,3星,2023/5/5 18:57,北京,251,比之前被痛骂难看的几部强得很有限，也就火箭前史还行，但也实在老套，前面基因公司那趴就像在看皮肤病拟人广告。游乐园式电影确实快走到头了，电影多少是要有点出乎意料的东西才有趣啊。
2,阿点日剧日影迷,4星,2023/5/3 20:00,广东,577,#银河护卫队3点映即使我对银护系列一般般，落幕的时候还是会觉得很不舍�交代了火箭浣熊的过去，感觉他更酷了！合家欢真的能给人带去欢乐�WeareGroot!
2,Dreamer,5星,2023/5/3 13:21,北京,1217,非常幸运，成为了全球第一批观看银护3的人。银河护卫队系列就是我最喜欢的超英电影，没有之一。银护3就是复联4后最好的漫威电影。拯救漫威口碑还得看我滚导，值得N刷。情节紧凑，搞笑，感人，温馨，虐心，音乐品味极佳，每一个人物形象都非常饱满，新加入的角色也很有趣。有太多我爱的充满人文关怀的情节了。一会儿带你下地狱，一会儿带你上天堂，一会儿带你进入萌宠乐园，最后带你进入一个盛大的party。当他们在一起，便成了一个银河系搞笑天团。他一句话，所有人为他转身。我们永远与你并肩作战。Familyforever.当前两部的画面和熟悉的音乐再次出现，我希望这场关于银河护卫队的美梦永远不用醒来。Farewell，myfriends.
2,过去是只猫,5星,2023/5/7 0:50,北京,979,“鲨我别用浣熊刀”最受不了看小动物痛苦
2,son沐风,5星,2023/4/29 14:18,上海,886,28号首映看的，相当喜欢，还得是滚导，熟悉的味道，给银护系列画上完美的句点。称之为复联4后的最佳漫威电影一点也不为过，在一些方面甚至认为超越复联4，没有一秒觉得无聊，包括字幕。情节推进和情绪都拿捏得恰到好处。将火箭的身世作为大主线本身就很催泪，贯穿全片的生死也很让人揪心。虽然笑点很多很密，但丝毫没有盖过悲伤，真正做到了“笑中带泪”。最后的彩蛋更是惊喜，从第一部看下来的观众很难不会热泪盈眶。一路看下来，这个系列的主创们就是一家人，只有真正喜欢银河护卫队的人才能拍出这样的结局，每个人都有完整的个人弧光，每个人都能让你兴奋让你感动，Groot的话依然是最感动，火箭的音乐是最大彩蛋，每个人身上都倾注着创作者的爱。这个结局真的太好了，好希望能继续看下去，但这段旅程真的到此为止了，再见，“我爱你们所有人“
2,又子又,3星,2023/5/6 16:56,浙江,265,7.3／10都创造完美世界了，就不能修复下自己的脸？
2,窃行动物,2星,2023/5/5 20:15,山东,431,8.6是不是搞笑？？很久没看到这么烂的片了，从头套路到尾，罕见地体验到如坐针毡的感觉，以后漫威的电影真的是一部都不能看了。导演是不是把自己歌单全塞电影里了？如果是的话我还真要感谢导演，歌不难听，让我能在两个半小时的漫长时光里不至于睡着过去。唯一的优点是结尾时的一段伪长镜头打戏，酣畅淋漓非常爽快。
2,D。,4星,2023/5/15 8:54,湖北,16,已经开始期待下一季了
2,天马星,1星,2023/5/3 19:15,广东,564,这部电影别扭至极，毫无内涵只能无能狂怒的反派与拥有悲惨过去的火箭浣熊都沦了为背景板，大部分时间还是要看一群毫无化学反应的角色，假模假样地为友情爱情闯关冒险。在情绪价值如此廉价的今天，这部电影充满了算计，所谓怀旧+悲情只为了赚一波情怀党的眼泪，以及我对于这个系列滥用歌曲的忍耐度已经到了极限！
2,名字取的长就牛,5星,2023/5/7 14:15,上海,683,感谢滚导没有强制让卡魔拉和星爵在一起，重生了那就是全新的她，星爵所喜欢的就是过去的那个她。银卫能有这样的一个完美结局真的很感动，各位都得到了自己的救赎，很棒。
2,端木胥,5星,2023/5/7 18:09,福建,565,最后格鲁特说出了“我爱大家”，其他人没有惊讶，因为他说的还是“我是格鲁特”，只不过我们也成了银河护卫队的一员，听懂了格鲁特的语言。漫威电影的魅力就在于，我们在现实世界不断成长，他也在电影世界陪我们经历，像个老朋友，互相打闹，互相依赖。复联之后漫威电影进入了一个新的阶段，但是表现都不尽如人意，银护3的出现为漫威保留了最后一丝尊严。但好像也到了要说再见的时候。
2,子戈,3星,2023/5/7 10:29,北京,199,在漫威所有单体里，还是比较认这个系列，它一直在讲多元共存。成员里一只浣熊，一棵树，一个傻子，一个逗比，还有灭霸养女，这些八竿子打不着的人，最后成了一家人。到这部里，不光救人，也救动物，还把敌人吸纳成自己成员。这个观念一以贯之。最后让浣熊做队长，显然也更有助于传达这个观念。而且不上价值，只践行，就还挺好。
2,jellyfish,5星,2023/5/3 19:11,北京,552,开头浣熊火箭拿着随身听听Creep的时候我的眼泪就忍不住了。当随身听从星爵手上传递到火箭手上，不仅仅是队长的交接，还是叙事主体和情感表达的交换。第一二集讲的都是星爵的故事、卡魔拉和星云姐妹的挣扎，火箭是那个又特别又不羁的伙伴。他一人背负了伤痛的过往，终于在这一集伙伴看到。从开头否认自己是浣熊，到最后看到笼子上的浣熊标签，大声喊出自己是火箭浣熊，证明他终于与过往和解了。救出孩子、救出动物也救了那个曾经袭击他们的术士，那个混乱的太空堡垒反而更像是理想的乌托邦。歌里唱Dogdaysareover，银河护卫队虽然换了人但是主题曲还是在战斗时响起来了，真好啊。
2,亵渎电影,3星,2023/5/5 19:55,河北,152,在漫威宇宙那套模板化大数据的条条框框里，没有个人美学风格辨识度的导演，都被磨平了，只能拍出一些视觉垃圾，导致这个阶段的漫威电影一部比一部烂。但《银护3》的质量却还是挺住了，还得是詹姆斯·古恩这种有个人美学风格的导演，才能在漫威的大数据里保留一点个性和趣味。虽然怀旧金曲串烧已经没有新鲜感了，导演B级片恶趣味的东西也几乎不剩了，但至少没有沦为故事低幼，特效花里胡哨的儿童片，整体的观感上还能有一丝前两部的味道，还是能看的。
2,蝴蝶谷里的懒虫,3星,2023/5/12 23:36,北京,146,Sosillysodumb.看完只觉得滚导精神状态堪忧，转场全靠音乐，台词全在吵架，灭霸能干成大事果然因为他是一位情绪稳定的领导吧……
3,文森特九六,3星,2023/5/7 0:26,山东,126,三部曲质量呈现出一个直线下滑的走势，到这部哪怕在古恩的主流作品序列里大概也只能处于下游水准，基本上通篇都在攒段子，一个个碎裂又宛如背景板般了无生机的巨大奇观场面和愈加乱糟的老歌串烧中完成一段段大部分都并不幽默的笑点填充和靠声嘶力竭的吼叫实现的无效情感起伏，当然浣熊的回忆线是最完整和用心的，但如此做戏方式是否也是一种“偷懒”，叙事在仓促急躁的感觉中“赶向”甚至“等待”结局的到来，各角色的最终选择看似必然实则也是较为突然，转入DC的古恩表露出了强烈的别离意味，愤怒和不舍交织，于是数次在R级边缘试探的挑衅镜头与邪典趣味乃至选择黑人演员出演这个让观众咬牙切齿的反派，以及高潮前牌局上的特罗马教主劳埃德·考夫曼，星爵冰冻的脸部变形为“毒魔”等等，都或许是临别前的一次反叛到底和个性宣言，这也是古恩的选择。
3,pepper_ann,5星,2023/5/5 20:31,上海,439,物种可以跳过万年的进化时间，旧日爱人却无法找回短暂的回忆。造物主不想完善世界，只是痛恨当下现实。八岁离开地球的星爵终于回到家中，痛失爱女的毁灭者成了无数小孩的父亲，从出生起就是工具人的螳螂妹也想过上自己的生活。他们来自宇宙中的各个角落，正如开场那首Creep里唱的每个人都是怪胎。银河永远需要护卫队，就像我们永远需要与朋友并肩。银河护卫队的故事没有结束，它欢迎每一个在宇宙中孤独的人的加入。
3,打成豆瓣,4星,2023/5/5 17:17,安徽,399,我会怀念这帮宇宙傻缺的，GalaxyForever!
3,Meraki,4星,2023/5/7 17:35,上海,222,很少笑但没少哭。滚导就像银护1最后的Groot把所有角色紧紧地怀在自己打造的系列里，哪怕是放弃情节也要尽可能展现每个人的能力、品质和自我，充满了对银护小队的爱与尊重和对复联3的怨念，银护不用在其他导演的镜头里镶边牺牲背锅，他们是自己的主角。卡魔拉真的回不来了，掠夺者才是她的家，和星爵错身的瞬间给原来时空的爱情划上了最好的句号。星云和火箭，我真的最爱两位了，感谢导演没忘记他们是湮灭的五年里最亲的伙伴，星云听到火箭声音的哽咽很动容。曼蒂丝和德拉克斯，借团队的争吵爆发挑开两个角色被观众诟病过的弱和莽，再赋予他们高光和柔情，处理得很高明。救赎后拥新友，哨箭中见故人，最后我们都听懂了Groot的话，最经典的音乐一定要再放。
3,小邪,4星,2023/5/19 9:04,浙江,158,关于卡魔拉没有想起/重新爱上星爵这件事，我很欣慰
3,木,4星,2023/5/7 19:57,浙江,222,整个故事线其实非常老套好猜，但胜在剧情拉满不会给你太多喘息的时间。最后没有安排卡魔拉和星爵在一起好评，在超英的世界里死亡或许可以被逆转，但是死去的那个人不会再回来了，这才是死亡真正的意义。
3,成为不了半仙,5星,2023/5/5 20:09,北京,486,补：滚导笔下的漫威会更有生机一些。小动物的回忆戏份梦核浓度很高，机械半肉身的美术风格，恐怖谷效应加持下却有种特别的催泪体验/武戏处理到位，一段长镜头的打戏好莱坞顶尖水平
3,胤祥,3星,2023/5/15 5:33,北京,47,“克苏鲁的命也是命”，最后不仅救了实验人类，还救了一飞船的实验动物（尤其那三只克苏鲁），这个点还真是有点意料之外，这价值瞬间拉满了。导演把这个边缘英雄们的故事写出了很深厚的情感，也在一定程度上达到了反思人类（白男）叙事的目的，怀旧金曲主打反差效果，冷烂欠和恶趣味也都尽可能留下了一些。不过实在是……也就第一幕（去偷资料）写得还行，第二幕（反地球）和第三幕（大决战）的动机和解决真是硬来。多人大乱斗长镜头可以算是个年度名场面（虽然实话说也就那样……）。看完之后去给《蚁人3》再扣一星……
3,wendy,5星,2023/5/6 23:35,浙江,307,在这里，“完美”是个贬义词。“完美”等同于“苛刻”，等同于“没有人情味”。而银河护卫队恰恰就是一个最有人情味，最有包容度的地方。动物、植物、蠢的、坏的、蓝的、绿的、大的、小的…济济一堂，彼此相爱。
3,些晕,5星,2023/5/9 1:04,广东,301,最后我们能听懂groot说的话.证明我们已经是银河守卫队的队员了.
3,爱美斯,5星,2023/5/5 22:24,北京,301,相当于两个雷神3、一个王牌特工1、四个复联、十个流浪地球2那么好看吧！
3,披着人皮的鬼,4星,2023/7/17 14:57,北京,81,滚给自己的三部曲完美收官也算对得起飞机
3,Free1130,4星,2023/5/3 11:21,北京,264,没想到，终局之战之后，漫威还能狠狠地赚我一把眼泪！银河护卫队一直是mcu中比较独特的存在，不是主角、战斗力不强、也没有其他明星那么耀眼，大概就是一群唱歌跳舞养萌宠的逗逼话痨。但没想到，这次告别如此令人不舍，每个人都在旅途的最后找到了自己未来的方向，闪烁弧光（我是真的在这部才喜欢上毁灭者和螳螂妹。最让人动容的一定是小浣熊，哭了两次，第三次献给整个银河护卫队，一部不留遗憾的系列终章！
3,夏日的凉亭,3星,2023/5/7 21:52,广东,82,其实就是美式主旋律，外加一些导演个人的恶趣味，组成了这一部银护告别作。但是无论是动作场面的强度，还是作为终章的决心，都没有体现出来。不断的闪回也是很硬的走流程式拍法，很多感情升华也是靠音乐强来。不过这种美式呼唤爱与自由战胜专制、独裁和虚渺的乌托邦，还是让人觉得比强调民族、仇恨、对立的片子要舒服。
3,偷笔,5星,2023/5/7 13:56,广东,231,火箭浣熊在拯救自己同胞的那一段，用温柔触碰自己的痛苦，如果我的哭泣有声音，应该会响彻影厅。
3,Peony,4星,2023/5/9 22:07,浙江,78,感谢没把火箭写死�
3,阿德,4星,2023/5/3 19:39,北京,93,回来了！熟悉的配方都回来了！搞笑+金曲+大场面，想看的都在，算是给这个系列画上完美句号。继《复仇者联盟4》后漫威最佳，放心去看！
3,同志亦凡人中文站,2星,2023/5/3 18:02,新西兰,327,如果说第一部观感是IamGroot，第二部是IamGroot，第三部就是IamGroot。好在没有第四部了...（过犹不及的金曲串烧和卖蠢笑话反复在我的雷区蹦迪，滚导真的快滚不动了）
3,徐若风,4星,2023/5/7 21:40,北京,44,滚导交出的东西确实够量。混杂着背叛与悲怆色彩的“火箭往事”+“营救”主线，亮点很多，是第四阶段漫威罕见的，兼具——高情节密度、高情感浓度、粉丝向情怀、热闹观赏性的故事。世界观/反派的整体设计，还杂交了柯南伯格、卡朋特的“bodyhorror”风格，整体是哄闹搞笑/阴郁悲伤“一锅炖”的混乱华丽质感。此外社会议题的表达也很浓烈，本片的主题鲜明且统一。每个主角都在与过往告别，接受当下的一切，在集体中获取情感与身份认同，学着重新出发。这层表达其实隐喻着我们这几年度过的各种坎，片中有大量台词实际是在做观众“内心情感潜意识”的“心智工作”。个人认为这才是《银3》能成为《复4》后口碑最高作的深层原因。
3,张熊熊,5星,2023/5/11 0:31,江苏,170,怀疑自我，找到自我，接纳自我，大声说，我———是一只浣熊！！！！
4,八角,2星,2023/5/6 17:03,广东,232,非常的低幼化，这个低幼指的不是给小孩子看的子供向，而是整个电影的走向是非常婴儿式的，开心了就哈哈哈哈疯笑，一句话说不对不满意就立马动手，所有的emotion处于一种婴儿般的又哭又闹的状态，尤其是特意的把情绪都放大了，情绪化没什么错，但是被长达两个半小时的超高情绪化调教，大家就算是巴普洛夫的狗也会疲惫吧。
4,琼岛搓澡师,4星,2023/5/3 19:05,北京,131,用银护3决定以后看不看漫威；终于把MCU中最爱的作品看完了，复联4之后的反派个人魅力依旧没有人能超过阿灭，这部至高进化也不例外。劲歌金曲第三辑虽不如第一辑那样给人耳目一新的感觉，却恰如其分得让全员都迎来了完美结局，这就足够了。那段伴随着《NoSleepTillBrooklyn》的长镜头，在IMAX上看真的就像和队友一起杀敌作战，除了爽快也不知道用什么形容了！Cosmo永远是最好的狗狗！不舍得告别没看过瘾的都可以去玩《漫威银河护卫队》。
4,雅典娜,5星,2023/5/4 21:00,新西兰,274,诚意满满的告别，既是银河护卫队对观众的告别，也是Gunn导对漫威的告别。电影本身，明显还是他从乔斯威登那里学来的复联1三板斧：开片一个长镜头+全员激战时一个长镜头+群殴boss，连最终彩蛋都能看到复联1彩蛋的影子。但因为学到的毕竟是好东西，这部电影不是神作也绝对比凯文费吉操控的其他弱智mcu值得看多了。我这边感觉坐得满满的全场观众都很享受，催泪点一出来整个一排男女老幼一起擦眼泪（说真的我有点震惊，惊喜那种）。之前犹豫要不要四星，结尾那首Dogdaysareover一想起来马上决定五星奉上！这首歌选的真的QvQ再加上NathanFillion和Gunn嫂相当多镜头的客串，可以了～片尾字幕致谢的第一位就是allthefans，有心了！JamesGunn咱们DC见～
4,透明北极熊,3星,2023/5/13 23:08,上海,61,远没有没有网上吹的那么好，对于路人来讲这不过又是一部剧本很一般的老套漫威电影。
4,豆瓣路人己,3星,2023/5/4 8:52,中国香港,102,能看，但漫威水准本身天花板也没多高，更何况是《复联4》之后。
4,朝阳群众扛把子,5星,2023/5/16 1:22,北京,121,花了近十年，我终于也听懂了“IamGroot”。
4,任行藏,1星,2023/5/8 12:56,江苏,263,8.5+，豆瓣疯了还是我疯了？
4,JacksonLee,5星,2023/5/9 22:23,北京,161,漫威现阶段最好看的电影没有之一。相比之下，永恒族+雷神4+黑豹2+蚁人3合起来不如火箭身上的一根毛。
4,Moonquakes,3星,2023/5/5 17:26,河南,74,一地球福瑞神马的，实在是太掉san了
4,岛马,5星,2023/5/3 18:00,广东,228,自烂与自信间极度的奢华，复联4后最好的漫威电影！
4,一郁知秋,4星,2023/7/14 11:56,安徽,1,不错不错，味道好极了。原汁原味优秀漫威大餐银护3
4,Vitaliux,4星,2023/5/15 0:45,浙江,40,火箭当上了队长，星爵回到了家乡，克拉格林学会了哨箭，卡魔拉加入了掠夺者，我们都有光明的未来。
4,钟镇源,5星,2023/5/8 10:11,广东,136,我们以为的银护3:星爵寻卡记。实际上的银护3:火箭成神、星云成人、格鲁特大杀四方、毁灭者成父、螳螂女独立。滚导他太懂了！用最老套的话来说：有笑有泪，漫威最佳
